param_id,repetition,accident_probability,helmet,change_lane_switch,scooter_safety_slider,average_congestion_final,avg_car_travel_time_final,avg_scooter_travel_time_final,car_person_accidents_final,car_scooter_accidents_final,helmet_ratio_final,scooter_person_accidents_final,scooter_scooter_accidents_final,step_final,average_congestion_max,avg_car_travel_time_max,avg_scooter_travel_time_max,car_person_accidents_max,car_scooter_accidents_max,helmet_ratio_max,scooter_person_accidents_max,scooter_scooter_accidents_max,step_max,average_congestion_mean,avg_car_travel_time_mean,avg_scooter_travel_time_mean,car_person_accidents_mean,car_scooter_accidents_mean,helmet_ratio_mean,scooter_person_accidents_mean,scooter_scooter_accidents_mean,step_mean,average_congestion_min,avg_car_travel_time_min,avg_scooter_travel_time_min,car_person_accidents_min,car_scooter_accidents_min,helmet_ratio_min,scooter_person_accidents_min,scooter_scooter_accidents_min,step_min
4,1,0.1,0,1,0.5,0.331262939958592,3814.28358208955,4087.1875,2.0,4.0,0.0,12.0,4.0,30001.0,15.3209109730849,3814.28358208955,4087.1875,2.0,4.0,0.0,12.0,4.0,30001.0,1.74107095413835,0.0,0.0,1.49063395773615,3.7036530897940096,0.0,10.8120125324978,3.49936670888607,15000.5,0,390,127,0,0,0,0,0,0
4,2,0.1,0,1,0.5,0.165631469979296,3742.2166666666703,4371.28378378378,5.0,2.0,0.0,7.0,3.0,30001.0,14.9068322981366,3742.2166666666703,4371.28378378378,5.0,2.0,0.0,7.0,3.0,30001.0,1.52666702827155,0.0,0.0,4.5443303779748,1.69598693420439,0.0,5.978334777681489,2.83631091260583,15000.5,0,176,0,0,0,0,0,0,0
4,3,0.1,0,1,0.5,0.41407867494824,4230.31147540984,3065.05194805195,4.0,1.0,0.0,6.0,3.0,30001.0,14.9896480331263,4230.31147540984,3065.05194805195,4.0,1.0,0.0,6.0,3.0,30001.0,1.60803634485139,0.0,0.0,3.55292980467969,0.992200519965336,0.0,5.48580094660356,2.84944337044197,15000.5,0,17,284,0,0,0,0,0,0
5,1,0.1,0,1,0.7,0.993788819875777,4289.83928571429,4003.14516129032,2.0,4.0,0.0,10.0,4.0,30001.0,15.1552795031056,4289.83928571429,4003.14516129032,2.0,4.0,0.0,10.0,4.0,30001.0,2.13133065111123,0.0,0.0,1.84387707486168,3.88947403506433,0.0,8.707352843,3.6773215118992097,15000.5,0,445,176,0,0,0,0,0,0
5,2,0.1,0,1,0.7,0.745341614906832,3516.4262295082,4339.4375,4.0,5.0,0.0,6.0,6.0,30001.0,15.4037267080745,3516.4262295082,4339.4375,4.0,5.0,0.0,6.0,6.0,30001.0,2.02156019136402,0.0,0.0,2.83721085260983,4.74698353443104,0.0,5.45586960869275,5.17805479634691,15000.5,0,145,581,0,0,0,0,0,0
5,3,0.1,0,1,0.7,0.579710144927536,3611.1272727272703,3625.7049180327904,9.0,0.0,0.0,14.0,7.0,30001.0,15.2380952380952,3611.1272727272703,3625.7049180327904,9.0,0.0,0.0,14.0,7.0,30001.0,1.80162178284099,0.0,0.0,6.639424038,0.0,0.0,12.8269115392307,6.76138257449503,15000.5,0,241,198,0,0,0,0,0,0
6,1,0.1,1,0,0.2,0.248447204968944,3639.4464285714303,4083.16,2.0,3.0,1.0,16.0,11.0,30001.0,7.70186335403727,3639.4464285714303,4083.16,2.0,3.0,1.0,16.0,11.0,30001.0,1.05787840507011,0.0,0.0,1.87160855942937,2.865008999,1.0,14.57199520032,10.3985734284381,15000.5,0,25,202,0,0,1,0,0,0
6,2,0.1,1,0,0.2,0.248447204968944,4005.26086956522,4131.9375,4.0,1.0,1.0,13.0,14.0,30001.0,7.78467908902692,4005.26086956522,4131.9375,4.0,1.0,1.0,13.0,14.0,30001.0,1.29320019107115,0.0,0.0,3.24411705886274,0.999900006666222,1.0,11.7787147523498,12.9294713685754,15000.5,0,398,262,0,0,1,0,0,0
6,3,0.1,1,0,0.2,0.41407867494824,3796.62068965517,5453.0,5.0,2.0,1.0,24.0,8.0,30001.0,8.11594202898551,3796.62068965517,5453.0,5.0,2.0,1.0,24.0,8.0,30001.0,1.40287127856108,0.0,0.0,4.28554763015799,1.42263849076728,1.0,22.2664155722952,7.63362442503833,15000.5,0,244,0,0,0,1,0,0,0
7,1,0.1,1,0,0.5,0.41407867494824,3507.5593220339,4728.71428571429,3.0,5.0,1.0,18.0,10.0,30001.0,7.78467908902692,3507.5593220339,4728.71428571429,3.0,5.0,1.0,18.0,10.0,30001.0,1.39969688701264,0.0,0.0,2.33007799480035,4.58009466035598,1.0,16.3678754749683,9.039530698,15000.5,0,571,152,0,0,1,0,0,0
